2022-07-01,Akazienallee,113123
2022-07-01,Akazienallee,113142
2022-07-01,Akazienallee,113120
2022-07-01,Akazienallee,113121
2022-07-01,Akazienallee,113140
2022-07-01,Akazienallee,113120
2022-07-01,Akazienallee,113120
2022-07-01,Akazienallee,141322
2022-07-01,Alfredstraße,112454
2022-07-01,Alfredstraße,141621
2022-07-01,Alfredstraße,141313
2022-07-01,Alfredstraße,141313
2022-07-01,Alsenplatz,112454
2022-07-01,Alte Bottroper Straße,142262
2022-07-01,Alte Hauptstraße,141236
2022-07-01,Alte Hauptstraße,141236
2022-07-01,Alte Hauptstraße,141236
2022-07-01,Altendorfer Straße,113140
2022-07-01,Altendorfer Straße,113140
2022-07-01,Altendorfer Straße,113140
2022-07-01,Altendorfer Straße,103202
2022-07-01,Altendorfer Straße,103202
2022-07-01,Altendorfer Straße,103761
2022-07-01,Altenessener Markt,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,142262
2022-07-01,Altenessener Straße,113122
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113120
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,141621
2022-07-01,Altenessener Straße,113122
2022-07-01,Altenessener Straße,113120
2022-07-01,Altenessener Straße,113144
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113120
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113120
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113300
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Altenessener Straße,113140
2022-07-01,Am Brachland,329113
2022-07-01,Am Dolmen,142103
2022-07-01,Am Handelshof,113140
2022-07-01,Am Handelshof,113142
2022-07-01,Am Schlagbaum,112464
2022-07-01,Am Schlagbaum,142278
2022-07-01,Am Seebogen,142103
2022-07-01,Am Seebogen,142103
2022-07-01,Am Seebogen,142103
2022-07-01,Am Seebogen,142103
2022-07-01,Am Waldthausenpark,113140
2022-07-01,Am Zehnthof,103202
2022-07-01,Am Zehnthof,103202
2022-07-01,Am Zehnthof,103761
2022-07-01,An der Reichsbank,113120
2022-07-01,An der Reichsbank,113140
2022-07-01,An der Reichsbank,113122
2022-07-01,An der Reichsbank,113120
2022-07-01,An der Reichsbank,113140
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141720
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141240
2022-07-01,BAB 40 in FR. Bochum,141721
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141723
2022-07-01,BAB 40 in FR. Bochum,141240
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141240
2022-07-01,BAB 40 in FR. Bochum,141721
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141227
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141239
2022-07-01,BAB 40 in FR. Bochum,141240
2022-07-01,BAB 40 in FR. Bochum,141240
2022-07-01,BAB 40 in FR. Bochum,141239
